* 4 anchors
* Two people around
* 3 back and forth
Tracker_Raw: 36793036149F 3.287 1.748 1.5 2024-05-17T20:47:05.592653Z
Tracker_Raw: 36793036149F 3.473 1.644 1.5 2024-05-17T20:47:05.872567Z
Tracker_Raw: 36793036149F 3.645 1.482 1.5 2024-05-17T20:47:06.115190Z
Tracker_Raw: 36793036149F 3.756 1.33 1.5 2024-05-17T20:47:06.358362Z
Tracker_Raw: 36793036149F 3.809 1.074 1.5 2024-05-17T20:47:06.600435Z
Tracker_Raw: 36793036149F 4.021 0.921 1.5 2024-05-17T20:47:06.861127Z
Tracker_Raw: 36793036149F 4.184 0.951 1.5 2024-05-17T20:47:07.144631Z
Tracker_Raw: 36793036149F 4.362 0.753 1.5 2024-05-17T20:47:07.390253Z
Tracker_Raw: 36793036149F 4.465 0.511 1.5 2024-05-17T20:47:07.635751Z
Tracker_Raw: 36793036149F 4.598 0.443 1.5 2024-05-17T20:47:07.903307Z
Tracker_Raw: 36793036149F 4.785 0.205 1.5 2024-05-17T20:47:08.144940Z
Tracker_Raw: 36793036149F 4.853 0.198 1.5 2024-05-17T20:47:08.430029Z
Tracker_Raw: 36793036149F 4.969 0.189 1.5 2024-05-17T20:47:08.676204Z
Tracker_Raw: 36793036149F 5.055 0.132 1.5 2024-05-17T20:47:08.924221Z
Tracker_Raw: 36793036149F 5.07 0.105 1.5 2024-05-17T20:47:09.174042Z
Tracker_Raw: 36793036149F 4.982 0.011 1.5 2024-05-17T20:47:09.417405Z
Tracker_Raw: 36793036149F 4.923 -0.081 1.5 2024-05-17T20:47:09.704224Z
Tracker_Raw: 36793036149F 4.912 -0.182 1.5 2024-05-17T20:47:09.955239Z
Tracker_Raw: 36793036149F 5.115 -0.296 1.5 2024-05-17T20:47:10.203820Z
Tracker_Raw: 36793036149F 5.374 -0.325 1.5 2024-05-17T20:47:10.449579Z
Tracker_Raw: 36793036149F 5.313 -0.305 1.5 2024-05-17T20:47:10.696376Z
Tracker_Raw: 36793036149F 5.228 -0.249 1.5 2024-05-17T20:47:10.989427Z
Tracker_Raw: 36793036149F 5.079 -0.28 1.5 2024-05-17T20:47:11.236425Z
Tracker_Raw: 36793036149F 4.97 -0.177 1.5 2024-05-17T20:47:11.477234Z
Tracker_Raw: 36793036149F 4.863 -0.057 1.5 2024-05-17T20:47:11.722411Z
Tracker_Raw: 36793036149F 4.678 0.053 1.5 2024-05-17T20:47:11.967732Z
Tracker_Raw: 36793036149F 4.491 0.155 1.5 2024-05-17T20:47:12.251172Z
Tracker_Raw: 36793036149F 4.091 0.484 1.5 2024-05-17T20:47:12.497253Z
Tracker_Raw: 36793036149F 3.857 0.789 1.5 2024-05-17T20:47:13.292146Z
Tracker_Raw: 36793036149F 3.643 1.031 1.5 2024-05-17T20:47:13.584634Z
Tracker_Raw: 36793036149F 3.487 1.304 1.5 2024-05-17T20:47:13.834071Z
Tracker_Raw: 36793036149F 3.292 1.396 1.5 2024-05-17T20:47:14.075455Z
Tracker_Raw: 36793036149F 3.222 1.553 1.5 2024-05-17T20:47:14.325306Z
Tracker_Raw: 36793036149F 2.988 1.652 1.5 2024-05-17T20:47:14.565880Z
Tracker_Raw: 36793036149F 2.793 1.692 1.5 2024-05-17T20:47:14.849802Z
