tracker,id,x,y,z,timestamp
Filtered,36793036149F,6.254702,3.564349,1.5,2024-05-18T01:58:49.979717Z
Raweee,36793036149F,6.114,3.568,1.5,2024-05-18T01:58:49.979717Z
Filtered,36793036149F,6.22939,3.559614,1.5,2024-05-18T01:58:50.221257Z
Raweee,36793036149F,6.178,3.55,1.5,2024-05-18T01:58:50.221257Z
Filtered,36793036149F,6.172831,3.545221,1.5,2024-05-18T01:58:50.461303Z
Raweee,36793036149F,6.058,3.516,1.5,2024-05-18T01:58:50.461303Z
Filtered,36793036149F,6.102267,3.505548,1.5,2024-05-18T01:58:50.765261Z
Raweee,36793036149F,5.959,3.425,1.5,2024-05-18T01:58:50.765261Z
Filtered,36793036149F,6.079739,3.426827,1.5,2024-05-18T01:58:51.007018Z
Raweee,36793036149F,6.034,3.267,1.5,2024-05-18T01:58:51.007018Z
Filtered,36793036149F,6.093025,3.295214,1.5,2024-05-18T01:58:51.254951Z
Raweee,36793036149F,6.12,3.028,1.5,2024-05-18T01:58:51.254951Z
Filtered,36793036149F,6.066617,3.118264,1.5,2024-05-18T01:58:51.494866Z
Raweee,36793036149F,6.013,2.759,1.5,2024-05-18T01:58:51.494866Z
Filtered,36793036149F,6.016913,2.896417,1.5,2024-05-18T01:58:51.738448Z
Raweee,36793036149F,5.916,2.446,1.5,2024-05-18T01:58:51.738448Z
Filtered,36793036149F,5.951602,2.644489,1.5,2024-05-18T01:58:52.023018Z
Raweee,36793036149F,6.527,2.386,1.5,2024-05-18T01:58:52.023018Z
Filtered,36793036149F,5.875833,2.372408,1.5,2024-05-18T01:58:52.267007Z
Raweee,36793036149F,6.855,2.147,1.5,2024-05-18T01:58:52.267007Z
Filtered,36793036149F,5.793058,2.086823,1.5,2024-05-18T01:58:52.510010Z
Raweee,36793036149F,6.961,1.716,1.5,2024-05-18T01:58:52.510010Z
Filtered,36793036149F,5.980479,1.733122,1.5,2024-05-18T01:58:53.007330Z
Raweee,36793036149F,6.361,1.015,1.5,2024-05-18T01:58:53.007330Z
Filtered,36793036149F,6.348931,1.333781,1.5,2024-05-18T01:58:53.284471Z
Raweee,36793036149F,5.882,0.504,1.5,2024-05-18T01:58:53.284471Z
Filtered,36793036149F,6.838674,0.903864,1.5,2024-05-18T01:58:53.535668Z
Raweee,36793036149F,5.464,0.16,1.5,2024-05-18T01:58:53.535668Z
Filtered,36793036149F,7.409681,0.453459,1.5,2024-05-18T01:58:53.777047Z
Raweee,36793036149F,5.131,-0.026,1.5,2024-05-18T01:58:53.777047Z
Filtered,36793036149F,6.524397,0.246727,1.5,2024-05-18T01:58:54.023367Z
Raweee,36793036149F,4.727,-0.173,1.5,2024-05-18T01:58:54.023367Z
Filtered,36793036149F,5.787376,0.081157,1.5,2024-05-18T01:58:54.270292Z
Raweee,36793036149F,4.291,-0.255,1.5,2024-05-18T01:58:54.270292Z
Filtered,36793036149F,5.167842,-0.028455,1.5,2024-05-18T01:58:54.563146Z
Raweee,36793036149F,3.91,-0.251,1.5,2024-05-18T01:58:54.563146Z
Filtered,36793036149F,4.631314,-0.105855,1.5,2024-05-18T01:58:54.814341Z
Raweee,36793036149F,3.542,-0.263,1.5,2024-05-18T01:58:54.814341Z
Filtered,36793036149F,4.157,-0.234933,1.5,2024-05-18T01:58:55.057415Z
Raweee,36793036149F,3.194,-0.497,1.5,2024-05-18T01:58:55.057415Z
Filtered,36793036149F,3.75737,-0.395665,1.5,2024-05-18T01:58:55.311887Z
Raweee,36793036149F,2.946,-0.722,1.5,2024-05-18T01:58:55.311887Z
Filtered,36793036149F,3.342768,-0.508965,1.5,2024-05-18T01:58:55.555623Z
Raweee,36793036149F,2.501,-0.739,1.5,2024-05-18T01:58:55.555623Z
Filtered,36793036149F,2.918135,-0.590487,1.5,2024-05-18T01:58:55.841537Z
