tracker,id,x,y,z,timestamp
Filtered,36793036149F,6.227116,3.216079,1.5,2024-05-18T02:01:33.376794Z
Raweee,36793036149F,6.212,3.37,1.5,2024-05-18T02:01:33.376794Z
Filtered,36793036149F,6.225098,3.272483,1.5,2024-05-18T02:01:33.624803Z
Raweee,36793036149F,6.221,3.387,1.5,2024-05-18T02:01:33.624803Z
Filtered,36793036149F,6.222756,3.315224,1.5,2024-05-18T02:01:33.869961Z
Raweee,36793036149F,6.218,3.402,1.5,2024-05-18T02:01:33.869961Z
Filtered,36793036149F,6.203036,3.34089,1.5,2024-05-18T02:01:34.119818Z
Raweee,36793036149F,6.163,3.393,1.5,2024-05-18T02:01:34.119818Z
Filtered,36793036149F,6.164744,3.348516,1.5,2024-05-18T02:01:34.407288Z
Raweee,36793036149F,6.087,3.364,1.5,2024-05-18T02:01:34.407288Z
Filtered,36793036149F,6.128199,3.336466,1.5,2024-05-18T02:01:34.655482Z
Raweee,36793036149F,6.054,3.312,1.5,2024-05-18T02:01:34.655482Z
Filtered,36793036149F,6.185883,3.261732,1.5,2024-05-18T02:01:34.900861Z
Raweee,36793036149F,6.303,3.11,1.5,2024-05-18T02:01:34.900861Z
Filtered,36793036149F,6.208692,3.197801,1.5,2024-05-18T02:01:35.391113Z
Raweee,36793036149F,6.255,3.068,1.5,2024-05-18T02:01:35.391113Z
Filtered,36793036149F,6.157313,3.146386,1.5,2024-05-18T02:01:35.682516Z
Raweee,36793036149F,6.053,3.042,1.5,2024-05-18T02:01:35.682516Z
Filtered,36793036149F,6.09979,3.092469,1.5,2024-05-18T02:01:35.918596Z
Raweee,36793036149F,5.983,2.983,1.5,2024-05-18T02:01:35.918596Z
Filtered,36793036149F,6.042109,3.031924,1.5,2024-05-18T02:01:36.166031Z
Raweee,36793036149F,5.925,2.909,1.5,2024-05-18T02:01:36.166031Z
Filtered,36793036149F,5.987293,2.959019,1.5,2024-05-18T02:01:36.421468Z
Raweee,36793036149F,5.876,2.811,1.5,2024-05-18T02:01:36.421468Z
Filtered,36793036149F,6.059136,2.846153,1.5,2024-05-18T02:01:36.666686Z
Raweee,36793036149F,6.205,2.617,1.5,2024-05-18T02:01:36.666686Z
Filtered,36793036149F,6.197691,2.708162,1.5,2024-05-18T02:01:36.951992Z
Raweee,36793036149F,6.479,2.428,1.5,2024-05-18T02:01:36.951992Z
Filtered,36793036149F,6.192513,2.615049,1.5,2024-05-18T02:01:37.197976Z
Raweee,36793036149F,6.182,2.426,1.5,2024-05-18T02:01:37.197976Z
Filtered,36793036149F,6.202904,2.555633,1.5,2024-05-18T02:01:37.436292Z
Raweee,36793036149F,6.224,2.435,1.5,2024-05-18T02:01:37.436292Z
Filtered,36793036149F,6.143866,2.481174,1.5,2024-05-18T02:01:37.688393Z
Raweee,36793036149F,6.024,2.33,1.5,2024-05-18T02:01:37.688393Z
Filtered,36793036149F,6.06735,2.405547,1.5,2024-05-18T02:01:37.936146Z
Raweee,36793036149F,5.912,2.252,1.5,2024-05-18T02:01:37.936146Z
Filtered,36793036149F,6.179764,2.394806,1.5,2024-05-18T02:01:38.209407Z
Raweee,36793036149F,6.408,2.373,1.5,2024-05-18T02:01:38.209407Z
Filtered,36793036149F,6.296332,2.36286,1.5,2024-05-18T02:01:38.464963Z
Raweee,36793036149F,6.533,2.298,1.5,2024-05-18T02:01:38.464963Z
Filtered,36793036149F,6.422613,2.328586,1.5,2024-05-18T02:01:38.713159Z
Raweee,36793036149F,6.679,2.259,1.5,2024-05-18T02:01:38.713159Z
Filtered,36793036149F,6.49798,2.277243,1.5,2024-05-18T02:01:38.960212Z
Raweee,36793036149F,6.651,2.173,1.5,2024-05-18T02:01:38.960212Z
Filtered,36793036149F,6.573557,2.224033,1.5,2024-05-18T02:01:39.207029Z
Raweee,36793036149F,6.727,2.116,1.5,2024-05-18T02:01:39.207029Z
