tracker,id,x,y,z,timestamp
Raweee,36793036149F,3.112,-0.582,1.5,2024-05-18T01:56:53.142657Z
Filtered,36793036149F,3.38254,-0.644486,1.5,2024-05-18T01:56:53.377900Z
Raweee,36793036149F,3.248,-0.768,1.5,2024-05-18T01:56:53.377900Z
Filtered,36793036149F,3.173472,-0.659836,1.5,2024-05-18T01:56:53.674557Z
Raweee,36793036149F,2.749,-0.691,1.5,2024-05-18T01:56:53.674557Z
Filtered,36793036149F,2.920206,-0.65197,1.5,2024-05-18T01:56:54.152895Z
Raweee,36793036149F,2.406,-0.636,1.5,2024-05-18T01:56:54.152895Z
Filtered,36793036149F,2.683198,-0.70049,1.5,2024-05-18T01:56:54.406210Z
Raweee,36793036149F,2.202,-0.799,1.5,2024-05-18T01:56:54.406210Z
Filtered,36793036149F,2.453453,-0.762698,1.5,2024-05-18T01:56:54.951720Z
Raweee,36793036149F,1.987,-0.889,1.5,2024-05-18T01:56:54.951720Z
Filtered,36793036149F,2.228573,-0.834078,1.5,2024-05-18T01:56:55.200562Z
Raweee,36793036149F,1.434,-0.233,1.5,2024-05-18T01:56:55.200562Z
Filtered,36793036149F,2.006954,-0.911602,1.5,2024-05-18T01:56:55.442092Z
Raweee,36793036149F,0.845,-0.318,1.5,2024-05-18T01:56:55.442092Z
Filtered,36793036149F,1.787519,-0.993243,1.5,2024-05-18T01:56:56.228862Z
Raweee,36793036149F,0.34,-0.221,1.5,2024-05-18T01:56:56.228862Z
Filtered,36793036149F,1.201598,-0.667123,1.5,2024-05-18T01:56:56.468740Z
Raweee,36793036149F,0.012,-0.005,1.5,2024-05-18T01:56:56.468740Z
Filtered,36793036149F,0.855561,-0.330482,1.5,2024-05-18T01:56:56.715842Z
Raweee,36793036149F,0.153,0.353,1.5,2024-05-18T01:56:56.715842Z
Filtered,36793036149F,0.607546,-0.053783,1.5,2024-05-18T01:56:56.953714Z
Raweee,36793036149F,0.104,0.508,1.5,2024-05-18T01:56:56.953714Z
Filtered,36793036149F,0.369436,0.158995,1.5,2024-05-18T01:56:57.195294Z
Raweee,36793036149F,-0.114,0.591,1.5,2024-05-18T01:56:57.195294Z
Filtered,36793036149F,0.105952,0.355347,1.5,2024-05-18T01:56:57.478657Z
Raweee,36793036149F,-0.429,0.754,1.5,2024-05-18T01:56:57.478657Z
Filtered,36793036149F,-0.110182,0.535742,1.5,2024-05-18T01:56:57.727890Z
Raweee,36793036149F,-0.549,0.902,1.5,2024-05-18T01:56:57.727890Z
Filtered,36793036149F,-0.261922,0.742737,1.5,2024-05-18T01:56:57.970451Z
Raweee,36793036149F,-0.57,1.163,1.5,2024-05-18T01:56:57.970451Z
Filtered,36793036149F,-0.358968,1.003854,1.5,2024-05-18T01:56:58.222254Z
Raweee,36793036149F,-0.556,1.534,1.5,2024-05-18T01:56:58.222254Z
Filtered,36793036149F,-0.473818,1.213782,1.5,2024-05-18T01:56:58.470050Z
Raweee,36793036149F,-0.707,1.64,1.5,2024-05-18T01:56:58.470050Z
Filtered,36793036149F,-0.506878,1.438914,1.5,2024-05-18T01:56:58.754461Z
Raweee,36793036149F,-0.574,1.896,1.5,2024-05-18T01:56:58.754461Z
Filtered,36793036149F,-0.591068,1.605592,1.5,2024-05-18T01:56:58.997909Z
Raweee,36793036149F,-0.762,1.944,1.5,2024-05-18T01:56:58.997909Z
Filtered,36793036149F,-0.609196,1.814287,1.5,2024-05-18T01:56:59.246941Z
Raweee,36793036149F,-0.646,2.238,1.5,2024-05-18T01:56:59.246941Z
Filtered,36793036149F,-0.659291,2.001302,1.5,2024-05-18T01:56:59.498533Z
Raweee,36793036149F,-0.761,2.381,1.5,2024-05-18T01:56:59.498533Z
Filtered,36793036149F,-0.622565,2.186663,1.5,2024-05-18T01:56:59.754161Z
Raweee,36793036149F,-0.548,2.563,1.5,2024-05-18T01:56:59.754161Z
Filtered,36793036149F,-0.541859,2.366954,1.5,2024-05-18T01:57:00.040709Z
Raweee,36793036149F,-0.378,2.733,1.5,2024-05-18T01:57:00.040709Z
Filtered,36793036149F,-0.508905,2.515139,1.5,2024-05-18T01:57:00.292512Z
Raweee,36793036149F,-0.442,2.816,1.5,2024-05-18T01:57:00.292512Z
