tracker,id,x,y,z,timestamp
Filtered,36793036149F,6.14753,3.571339,1.5,2024-05-18T02:02:38.632715Z
Raweee,36793036149F,6.192,3.484,1.5,2024-05-18T02:02:38.632715Z
Filtered,36793036149F,6.186625,3.529977,1.5,2024-05-18T02:02:38.880816Z
Raweee,36793036149F,6.266,3.446,1.5,2024-05-18T02:02:38.880816Z
Filtered,36793036149F,6.332609,3.435935,1.5,2024-05-18T02:02:39.130420Z
Raweee,36793036149F,6.629,3.245,1.5,2024-05-18T02:02:39.130420Z
Filtered,36793036149F,6.425468,3.325406,1.5,2024-05-18T02:02:39.422917Z
Raweee,36793036149F,6.614,3.101,1.5,2024-05-18T02:02:39.422917Z
Filtered,36793036149F,6.371853,3.221322,1.5,2024-05-18T02:02:39.668484Z
Raweee,36793036149F,6.263,3.01,1.5,2024-05-18T02:02:39.668484Z
Filtered,36793036149F,6.280822,3.039056,1.5,2024-05-18T02:02:39.921007Z
Raweee,36793036149F,6.096,2.669,1.5,2024-05-18T02:02:39.921007Z
Filtered,36793036149F,6.164721,2.804407,1.5,2024-05-18T02:02:40.400389Z
Raweee,36793036149F,6.656,2.575,1.5,2024-05-18T02:02:40.400389Z
Filtered,36793036149F,6.031823,2.534663,1.5,2024-05-18T02:02:40.686148Z
Raweee,36793036149F,6.757,2.11,1.5,2024-05-18T02:02:40.686148Z
Filtered,36793036149F,5.887671,2.241404,1.5,2024-05-18T02:02:41.173553Z
Raweee,36793036149F,7.035,1.771,1.5,2024-05-18T02:02:41.173553Z
Filtered,36793036149F,6.10756,1.880251,1.5,2024-05-18T02:02:41.418983Z
Raweee,36793036149F,6.554,1.147,1.5,2024-05-18T02:02:41.418983Z
Filtered,36793036149F,6.571355,1.473608,1.5,2024-05-18T02:02:41.661916Z
Raweee,36793036149F,6.119,0.508,1.5,2024-05-18T02:02:41.661916Z
Filtered,36793036149F,7.198568,1.036487,1.5,2024-05-18T02:02:41.953229Z
Raweee,36793036149F,5.632,0.284,1.5,2024-05-18T02:02:41.953229Z
Filtered,36793036149F,7.93527,0.578947,1.5,2024-05-18T02:02:42.198873Z
Raweee,36793036149F,5.211,0.138,1.5,2024-05-18T02:02:42.198873Z
Filtered,36793036149F,6.913501,0.426504,1.5,2024-05-18T02:02:42.450281Z
Raweee,36793036149F,4.839,0.117,1.5,2024-05-18T02:02:42.450281Z
Filtered,36793036149F,6.129586,0.440858,1.5,2024-05-18T02:02:42.697891Z
Raweee,36793036149F,4.538,0.47,1.5,2024-05-18T02:02:42.697891Z
Filtered,36793036149F,5.495132,0.501625,1.5,2024-05-18T02:02:42.937029Z
Raweee,36793036149F,4.207,0.625,1.5,2024-05-18T02:02:42.937029Z
Filtered,36793036149F,5.009659,0.630449,1.5,2024-05-18T02:02:43.232722Z
Raweee,36793036149F,4.024,0.892,1.5,2024-05-18T02:02:43.232722Z
Filtered,36793036149F,4.647101,0.671551,1.5,2024-05-18T02:02:43.482721Z
Raweee,36793036149F,3.911,0.755,1.5,2024-05-18T02:02:43.482721Z
Filtered,36793036149F,4.316738,0.765749,1.5,2024-05-18T02:02:43.724013Z
Raweee,36793036149F,3.646,0.957,1.5,2024-05-18T02:02:43.724013Z
Filtered,36793036149F,3.997054,0.872422,1.5,2024-05-18T02:02:43.961014Z
Raweee,36793036149F,3.348,1.089,1.5,2024-05-18T02:02:43.961014Z
Filtered,36793036149F,3.680896,0.936633,1.5,2024-05-18T02:02:44.195895Z
Raweee,36793036149F,3.039,1.067,1.5,2024-05-18T02:02:44.195895Z
Filtered,36793036149F,3.354561,0.925534,1.5,2024-05-18T02:02:44.488497Z
Raweee,36793036149F,2.692,0.903,1.5,2024-05-18T02:02:44.488497Z
Filtered,36793036149F,3.017776,0.843518,1.5,2024-05-18T02:02:44.738822Z
Raweee,36793036149F,2.334,0.677,1.5,2024-05-18T02:02:44.738822Z
Filtered,36793036149F,2.66376,0.723557,1.5,2024-05-18T02:02:44.986803Z
Raweee,36793036149F,1.945,0.48,1.5,2024-05-18T02:02:44.986803Z
Filtered,36793036149F,2.288959,0.549463,1.5,2024-05-18T02:02:45.220458Z
Raweee,36793036149F,1.528,0.196,1.5,2024-05-18T02:02:45.220458Z
Filtered,36793036149F,1.900233,0.3391,1.5,2024-05-18T02:02:45.474324Z
Raweee,36793036149F,0.856,0.19,1.5,2024-05-18T02:02:45.474324Z
Filtered,36793036149F,1.502176,0.104437,1.5,2024-05-18T02:02:45.763487Z
Raweee,36793036149F,0.419,0.232,1.5,2024-05-18T02:02:45.763487Z
Filtered,36793036149F,1.097868,-0.146507,1.5,2024-05-18T02:02:46.008570Z
Raweee,36793036149F,0.286,0.363,1.5,2024-05-18T02:02:46.008570Z
Filtered,36793036149F,0.767581,0.13086,1.5,2024-05-18T02:02:46.254573Z
Raweee,36793036149F,0.097,0.694,1.5,2024-05-18T02:02:46.254573Z
Filtered,36793036149F,0.49316,0.416686,1.5,2024-05-18T02:02:46.498757Z
Raweee,36793036149F,-0.064,0.997,1.5,2024-05-18T02:02:46.498757Z
Filtered,36793036149F,0.292137,0.70785,1.5,2024-05-18T02:02:46.742616Z
Raweee,36793036149F,-0.116,1.299,1.5,2024-05-18T02:02:46.742616Z
Filtered,36793036149F,0.140292,1.002589,1.5,2024-05-18T02:02:47.031093Z
Raweee,36793036149F,-0.31,1.936,1.5,2024-05-18T02:02:47.031093Z
