tracker,id,x,y,z,timestamp
Filtered,36793036149F,3.743536,2.381566,1.5,2024-05-18T02:07:41.391950Z
Raweee,36793036149F,3.76,2.192,1.5,2024-05-18T02:07:41.391950Z
Filtered,36793036149F,3.735109,2.316039,1.5,2024-05-18T02:07:41.633369Z
Raweee,36793036149F,3.718,2.183,1.5,2024-05-18T02:07:41.633369Z
Filtered,36793036149F,3.702073,2.251676,1.5,2024-05-18T02:07:41.879483Z
Raweee,36793036149F,3.635,2.121,1.5,2024-05-18T02:07:41.879483Z
Filtered,36793036149F,3.669379,2.182153,1.5,2024-05-18T02:07:42.120674Z
Raweee,36793036149F,3.603,2.041,1.5,2024-05-18T02:07:42.120674Z
Filtered,36793036149F,3.661004,2.110163,1.5,2024-05-18T02:07:42.413393Z
Raweee,36793036149F,3.644,1.964,1.5,2024-05-18T02:07:42.413393Z
Filtered,36793036149F,3.646153,2.031899,1.5,2024-05-18T02:07:42.658046Z
Raweee,36793036149F,3.616,1.873,1.5,2024-05-18T02:07:42.658046Z
Filtered,36793036149F,3.648742,1.940852,1.5,2024-05-18T02:07:42.901396Z
Raweee,36793036149F,3.654,1.756,1.5,2024-05-18T02:07:42.901396Z
Filtered,36793036149F,3.652787,1.854441,1.5,2024-05-18T02:07:43.147489Z
Raweee,36793036149F,3.661,1.679,1.5,2024-05-18T02:07:43.147489Z
Filtered,36793036149F,3.661108,1.751995,1.5,2024-05-18T02:07:43.398780Z
Raweee,36793036149F,3.678,1.544,1.5,2024-05-18T02:07:43.398780Z
Filtered,36793036149F,3.668992,1.666527,1.5,2024-05-18T02:07:43.682437Z
Raweee,36793036149F,3.685,1.493,1.5,2024-05-18T02:07:43.682437Z
Filtered,36793036149F,3.653155,1.567023,1.5,2024-05-18T02:07:43.922626Z
Raweee,36793036149F,3.621,1.365,1.5,2024-05-18T02:07:43.922626Z
Filtered,36793036149F,3.639904,1.453495,1.5,2024-05-18T02:07:44.158394Z
Raweee,36793036149F,3.613,1.223,1.5,2024-05-18T02:07:44.158394Z
Filtered,36793036149F,3.639605,1.363242,1.5,2024-05-18T02:07:44.407133Z
Raweee,36793036149F,3.639,1.18,1.5,2024-05-18T02:07:44.407133Z
Filtered,36793036149F,3.689896,1.172752,1.5,2024-05-18T02:07:44.658499Z
Raweee,36793036149F,3.792,0.786,1.5,2024-05-18T02:07:44.658499Z
Filtered,36793036149F,3.72986,1.047434,1.5,2024-05-18T02:07:44.951424Z
Raweee,36793036149F,3.811,0.793,1.5,2024-05-18T02:07:44.951424Z
Filtered,36793036149F,3.792936,0.971721,1.5,2024-05-18T02:07:45.199968Z
Raweee,36793036149F,3.921,0.818,1.5,2024-05-18T02:07:45.199968Z
Filtered,36793036149F,3.792297,0.916043,1.5,2024-05-18T02:07:45.444151Z
Raweee,36793036149F,3.791,0.803,1.5,2024-05-18T02:07:45.444151Z
Filtered,36793036149F,3.768439,0.863889,1.5,2024-05-18T02:07:45.694857Z
Raweee,36793036149F,3.72,0.758,1.5,2024-05-18T02:07:45.694857Z
Filtered,36793036149F,3.825054,0.839175,1.5,2024-05-18T02:07:45.937810Z
Raweee,36793036149F,3.94,0.789,1.5,2024-05-18T02:07:45.937810Z
Filtered,36793036149F,3.913806,0.814038,1.5,2024-05-18T02:07:46.224373Z
Raweee,36793036149F,4.094,0.763,1.5,2024-05-18T02:07:46.224373Z
Filtered,36793036149F,3.91981,0.717335,1.5,2024-05-18T02:07:46.468488Z
Raweee,36793036149F,3.932,0.521,1.5,2024-05-18T02:07:46.468488Z
Filtered,36793036149F,3.881923,0.569715,1.5,2024-05-18T02:07:46.710882Z
Raweee,36793036149F,3.805,0.27,1.5,2024-05-18T02:07:46.710882Z
Filtered,36793036149F,3.820568,0.418009,1.5,2024-05-18T02:07:46.951716Z
Raweee,36793036149F,3.696,0.11,1.5,2024-05-18T02:07:46.951716Z
Filtered,36793036149F,3.793651,0.190966,1.5,2024-05-18T02:07:47.199803Z
Raweee,36793036149F,3.739,-0.27,1.5,2024-05-18T02:07:47.199803Z
Filtered,36793036149F,3.808946,-0.068073,1.5,2024-05-18T02:07:47.482346Z
Raweee,36793036149F,3.84,-0.594,1.5,2024-05-18T02:07:47.482346Z
Filtered,36793036149F,3.715904,-0.195429,1.5,2024-05-18T02:07:47.756888Z
Raweee,36793036149F,3.527,-0.454,1.5,2024-05-18T02:07:47.756888Z
Filtered,36793036149F,3.578986,-0.261617,1.5,2024-05-18T02:07:48.236730Z
Raweee,36793036149F,3.301,-0.396,1.5,2024-05-18T02:07:48.236730Z
