tracker,id,x,y,z,timestamp
Filtered,36793036149F,3.95528,4.728354,1.5,2024-05-18T02:06:25.860299Z
Raweee,36793036149F,3.984,4.674,1.5,2024-05-18T02:06:25.860299Z
Filtered,36793036149F,3.965418,4.708767,1.5,2024-05-18T02:06:26.144906Z
Raweee,36793036149F,3.986,4.669,1.5,2024-05-18T02:06:26.144906Z
Filtered,36793036149F,3.98772,4.682774,1.5,2024-05-18T02:06:26.392836Z
Raweee,36793036149F,4.033,4.63,1.5,2024-05-18T02:06:26.392836Z
Filtered,36793036149F,3.996722,4.635659,1.5,2024-05-18T02:06:26.642558Z
Raweee,36793036149F,4.015,4.54,1.5,2024-05-18T02:06:26.642558Z
Filtered,36793036149F,4.013644,4.568121,1.5,2024-05-18T02:06:26.894318Z
Raweee,36793036149F,4.048,4.431,1.5,2024-05-18T02:06:26.894318Z
Filtered,36793036149F,3.975811,4.523861,1.5,2024-05-18T02:06:27.138950Z
Raweee,36793036149F,3.899,4.434,1.5,2024-05-18T02:06:27.138950Z
Filtered,36793036149F,3.907564,4.478367,1.5,2024-05-18T02:06:27.423279Z
Raweee,36793036149F,3.769,4.386,1.5,2024-05-18T02:06:27.423279Z
Filtered,36793036149F,3.852598,4.397066,1.5,2024-05-18T02:06:27.668340Z
Raweee,36793036149F,3.741,4.232,1.5,2024-05-18T02:06:27.668340Z
Filtered,36793036149F,3.84382,4.245244,1.5,2024-05-18T02:06:27.910873Z
Raweee,36793036149F,3.826,3.937,1.5,2024-05-18T02:06:27.910873Z
Filtered,36793036149F,3.82111,4.085114,1.5,2024-05-18T02:06:28.158648Z
Raweee,36793036149F,3.775,3.76,1.5,2024-05-18T02:06:28.158648Z
Filtered,36793036149F,3.792363,3.920406,1.5,2024-05-18T02:06:28.400222Z
Raweee,36793036149F,3.734,3.586,1.5,2024-05-18T02:06:28.400222Z
Filtered,36793036149F,3.763534,3.744382,1.5,2024-05-18T02:06:28.681560Z
Raweee,36793036149F,3.705,3.387,1.5,2024-05-18T02:06:28.681560Z
Filtered,36793036149F,3.746527,3.559456,1.5,2024-05-18T02:06:28.929272Z
Raweee,36793036149F,3.712,3.184,1.5,2024-05-18T02:06:28.929272Z
Filtered,36793036149F,3.746353,3.362626,1.5,2024-05-18T02:06:29.177107Z
Raweee,36793036149F,3.746,2.963,1.5,2024-05-18T02:06:29.177107Z
Filtered,36793036149F,3.746237,3.147259,1.5,2024-05-18T02:06:29.420995Z
Raweee,36793036149F,3.746,2.71,1.5,2024-05-18T02:06:29.420995Z
Filtered,36793036149F,3.740879,2.943234,1.5,2024-05-18T02:06:29.662631Z
Raweee,36793036149F,3.73,2.529,1.5,2024-05-18T02:06:29.662631Z
Filtered,36793036149F,3.712539,2.724037,1.5,2024-05-18T02:06:29.945813Z
Raweee,36793036149F,3.655,2.279,1.5,2024-05-18T02:06:29.945813Z
Filtered,36793036149F,3.701801,2.516454,1.5,2024-05-18T02:06:30.178516Z
Raweee,36793036149F,3.68,2.095,1.5,2024-05-18T02:06:30.178516Z
Filtered,36793036149F,3.716717,2.289594,1.5,2024-05-18T02:06:30.430368Z
Raweee,36793036149F,3.747,1.829,1.5,2024-05-18T02:06:30.430368Z
Filtered,36793036149F,3.77852,2.073908,1.5,2024-05-18T02:06:30.672318Z
Raweee,36793036149F,3.904,1.636,1.5,2024-05-18T02:06:30.672318Z
Filtered,36793036149F,3.905398,1.895079,1.5,2024-05-18T02:06:30.915138Z
Raweee,36793036149F,4.163,1.532,1.5,2024-05-18T02:06:30.915138Z
Filtered,36793036149F,3.928697,1.696723,1.5,2024-05-18T02:06:31.203272Z
Raweee,36793036149F,3.976,1.294,1.5,2024-05-18T02:06:31.203272Z
Filtered,36793036149F,3.898107,1.474724,1.5,2024-05-18T02:06:31.452400Z
Raweee,36793036149F,3.836,1.024,1.5,2024-05-18T02:06:31.452400Z
Filtered,36793036149F,3.844282,1.239855,1.5,2024-05-18T02:06:31.698182Z
Raweee,36793036149F,3.735,0.763,1.5,2024-05-18T02:06:31.698182Z
Filtered,36793036149F,3.843199,1.053453,1.5,2024-05-18T02:06:31.943901Z
Raweee,36793036149F,3.841,0.675,1.5,2024-05-18T02:06:31.943901Z
Filtered,36793036149F,3.807823,0.819333,1.5,2024-05-18T02:06:32.200250Z
Raweee,36793036149F,3.736,0.344,1.5,2024-05-18T02:06:32.200250Z
Filtered,36793036149F,3.771912,0.499123,1.5,2024-05-18T02:06:32.488906Z
Raweee,36793036149F,3.699,-0.151,1.5,2024-05-18T02:06:32.488906Z
Filtered,36793036149F,3.736301,0.160173,1.5,2024-05-18T02:06:32.730670Z
Raweee,36793036149F,3.664,-0.528,1.5,2024-05-18T02:06:32.730670Z
Filtered,36793036149F,3.593971,-0.094974,1.5,2024-05-18T02:06:32.974355Z
Raweee,36793036149F,3.305,-0.613,1.5,2024-05-18T02:06:32.974355Z
Filtered,36793036149F,3.413471,-0.262623,1.5,2024-05-18T02:06:33.215474Z
Raweee,36793036149F,3.047,-0.603,1.5,2024-05-18T02:06:33.215474Z
Filtered,36793036149F,3.330815,-0.433027,1.5,2024-05-18T02:06:33.473071Z
Raweee,36793036149F,3.163,-0.779,1.5,2024-05-18T02:06:33.473071Z
Filtered,36793036149F,3.172806,-0.541588,1.5,2024-05-18T02:06:33.766686Z
Raweee,36793036149F,2.852,-0.762,1.5,2024-05-18T02:06:33.766686Z
Filtered,36793036149F,2.99929,-0.649304,1.5,2024-05-18T02:06:34.009153Z
Raweee,36793036149F,2.647,-0.868,1.5,2024-05-18T02:06:34.009153Z
Filtered,36793036149F,2.771494,-0.665044,1.5,2024-05-18T02:06:34.249226Z
Raweee,36793036149F,2.309,-0.697,1.5,2024-05-18T02:06:34.249226Z
Filtered,36793036149F,2.554191,-0.712549,1.5,2024-05-18T02:06:34.486700Z
